Chart Recorder Data File Fri, Oct 23, 2015 11:14 AM
Time (s)	CH1 (V)  
11:01:18.644	0.708784
11:01:18.744	0.708146
11:01:18.844	0.708784
11:01:18.944	0.708465
11:01:19.044	0.709104
11:01:19.144	0.710061
11:01:19.244	0.710380
11:01:19.344	0.710699
11:01:19.444	0.710061
11:01:19.544	0.710699
11:01:19.644	0.710380
11:01:19.744	0.711338
11:01:19.844	0.711976
11:01:19.944	0.709423
11:01:20.044	0.711338
11:01:20.144	0.711657
11:01:20.244	0.712295
11:01:20.344	0.711657
11:01:20.444	0.711976
11:01:20.544	0.712295
11:01:20.644	0.711976
11:01:20.744	0.712614
11:01:20.844	0.712934
11:01:20.944	0.712934
11:01:21.044	0.712934
11:01:21.144	0.712614
11:01:21.244	0.713253
11:01:21.344	0.713253
11:01:21.444	0.712614
11:01:21.544	0.712934
11:01:21.644	0.713572
11:01:21.743	0.713572
11:01:21.843	0.713891
11:01:21.943	0.713891
11:01:22.043	0.714210
11:01:22.143	0.714530
11:01:22.243	0.714210
11:01:22.343	0.714210
11:01:22.443	0.714530
11:01:22.543	0.715487
11:01:22.643	0.715806
11:01:22.743	0.716445
11:01:22.843	0.717402
11:01:22.943	0.717402
11:01:23.043	0.716445
11:01:23.143	0.716445
11:01:23.243	0.716764
11:01:23.343	0.717083
11:01:23.443	0.717402
11:01:23.543	0.717083
11:01:23.643	0.717402
11:01:23.743	0.717721
11:01:23.843	0.717402
11:01:23.943	0.717721
11:01:24.043	0.718360
11:01:24.143	0.718360
11:01:24.243	0.718998
11:01:24.343	0.718040
11:01:24.443	0.718998
11:01:24.543	0.718998
11:01:24.643	0.718360
11:01:24.743	0.719317
11:01:24.843	0.719636
11:01:24.943	0.719317
11:01:25.043	0.718998
11:01:25.144	0.719317
11:01:25.244	0.719636
11:01:25.344	0.719955
11:01:25.444	0.720594
11:01:25.544	0.719955
11:01:25.644	0.720594
11:01:25.744	0.720913
11:01:25.844	0.721871
11:01:25.944	0.721551
11:01:26.044	0.721871
11:01:26.144	0.721871
11:01:26.244	0.722828
11:01:26.344	0.722509
11:01:26.444	0.722828
11:01:26.544	0.722190
11:01:26.644	0.723147
11:01:26.744	0.723147
11:01:26.844	0.723147
11:01:26.944	0.723466
11:01:27.044	0.723466
11:01:27.144	0.724743
11:01:27.244	0.724105
11:01:27.344	0.723786
11:01:27.444	0.724424
11:01:27.544	0.724105
11:01:27.644	0.724424
11:01:27.744	0.724105
11:01:27.844	0.725381
11:01:27.944	0.725701
11:01:28.044	0.724424
11:01:28.144	0.724424
11:01:28.244	0.724743
11:01:28.344	0.724743
11:01:28.444	0.726020
11:01:28.544	0.726020
11:01:28.644	0.726339
11:01:28.744	0.725701
11:01:28.844	0.726339
11:01:28.944	0.726977
11:01:29.044	0.726977
11:01:29.144	0.727935
11:01:29.244	0.728254
11:01:29.344	0.727616
11:01:29.444	0.727616
11:01:29.544	0.727297
11:01:29.644	0.727616
11:01:29.744	0.728254
11:01:29.844	0.728573
11:01:29.944	0.729212
11:01:30.044	0.729212
11:01:30.144	0.729212
11:01:30.244	0.729212
11:01:30.344	0.729850
11:01:30.444	0.730169
11:01:30.544	0.729850
11:01:30.644	0.730807
11:01:30.744	0.729531
11:01:30.844	0.730488
11:01:30.944	0.731127
11:01:31.044	0.730807
11:01:31.144	0.730488
11:01:31.244	0.731127
11:01:31.344	0.731446
11:01:31.444	0.732084
11:01:31.544	0.731127
11:01:31.644	0.732084
11:01:31.744	0.732403
11:01:31.844	0.731446
11:01:31.944	0.732722
11:01:32.044	0.733042
11:01:32.144	0.733361
11:01:32.244	0.733361
11:01:32.344	0.733361
11:01:32.444	0.733361
11:01:32.544	0.733680
11:01:32.644	0.733999
11:01:32.744	0.734318
11:01:32.844	0.733042
11:01:32.944	0.734318
11:01:33.044	0.734638
11:01:33.144	0.734638
11:01:33.244	0.733680
11:01:33.344	0.734638
11:01:33.444	0.734638
11:01:33.544	0.734638
11:01:33.644	0.736553
11:01:33.744	0.735914
11:01:33.844	0.735276
11:01:33.944	0.735914
11:01:34.044	0.735595
11:01:34.144	0.736233
11:01:34.244	0.736872
11:01:34.344	0.736233
11:01:34.444	0.737191
11:01:34.544	0.737191
11:01:34.644	0.736872
11:01:34.744	0.736553
11:01:34.844	0.737191
11:01:34.944	0.737510
11:01:35.044	0.737191
11:01:35.144	0.737829
11:01:35.244	0.737510
11:01:35.344	0.737829
11:01:35.444	0.737829
11:01:35.544	0.738787
11:01:35.644	0.738468
11:01:35.744	0.738787
11:01:35.844	0.739744
11:01:35.944	0.738468
11:01:36.044	0.739106
11:01:36.144	0.739744
11:01:36.244	0.740064
11:01:36.344	0.739744
11:01:36.444	0.740383
11:01:36.544	0.741021
11:01:36.644	0.740383
11:01:36.744	0.741021
11:01:36.844	0.741021
